time,seconds_elapsed,Acc z,Acc y,Acc x,time,seconds_elapsed,gyro_z,gyro_y,gyro_x
1.71507E+18,1.456824219,0.203010559,0.127776146,-0.156087518,1.71507E+18,1.4596604,0.023823744,-0.098425664,-0.10445796
1.71507E+18,1.466824463,0.159078598,0.124111176,-0.123613819,1.71507E+18,1.469660156,0.02321288,-0.108199507,-0.11178834
1.71507E+18,1.476824463,0.265603065,0.140191078,-0.21403642,1.71507E+18,1.4796604,0.014660766,-0.10636691,-0.117286131
1.71507E+18,1.486824463,0.333551407,0.187862396,-0.334845483,1.71507E+18,1.489660156,0.014049901,-0.12530373,-0.112399206
1.71507E+18,1.496824463,0.389800072,0.168087482,-0.296454608,1.71507E+18,1.4996604,0.021380283,-0.154625267,-0.092240654
1.71507E+18,1.506824463,0.327378273,0.043725491,-0.179280385,1.71507E+18,1.509660156,0.025045475,-0.161344782,-0.0580322
1.71507E+18,1.516824463,0.127826691,-0.037792683,-0.091598608,1.71507E+18,1.5196604,0.020158553,-0.124692865,-0.021991149
1.71507E+18,1.526824463,-0.06740284,-0.040787697,-0.125306875,1.71507E+18,1.529660156,0.01160644,-0.082543164,-0.00122173
1.71507E+18,1.536824219,-0.225551605,0.03351593,-0.167178243,1.71507E+18,1.5396604,0.01038471,-0.070936725,0.000610865
1.71507E+18,1.546824463,-0.273376942,0.093185425,-0.141079634,1.71507E+18,1.549660156,0.015271631,-0.066049807,-0.012217305
1.71507E+18,1.556824219,-0.178136826,0.172917843,-0.170046717,1.71507E+18,1.5596604,0.020769419,-0.060552016,-0.032986723
1.71507E+18,1.566824463,0.045399666,0.163210392,-0.172497466,1.71507E+18,1.569660156,0.031764992,-0.063606344,-0.054367006
1.71507E+18,1.576824463,0.224011421,0.174897194,-0.078126326,1.71507E+18,1.5796604,0.0421497,-0.092317007,-0.070249505
1.71507E+18,1.586824463,0.362534523,0.171088219,-0.032790139,1.71507E+18,1.589660156,0.040927973,-0.124692865,-0.075747289
1.71507E+18,1.596824463,0.515816689,0.14008522,-0.09559615,1.71507E+18,1.5996604,0.028099801,-0.115529887,-0.069027774
1.71507E+18,1.609466797,0.496370316,0.098873138,-0.098171845,1.71507E+18,1.609466797,0.023823744,-0.077045381,-0.05375614
1.71507E+18,1.619467041,0.303300858,0.064374924,-0.05956921,1.71507E+18,1.619467041,0.027488936,-0.045891251,-0.031764992
1.71507E+18,1.629467041,0.118073463,-0.033382893,0.021693945,1.71507E+18,1.629467041,0.029932396,-0.038560867,-0.017104227
1.71507E+18,1.639467041,0.019697189,-0.077195168,0.03520298,1.71507E+18,1.639467041,0.028710667,-0.020234911,-0.004276057
1.71507E+18,1.649466797,0.061016083,-0.095984459,-0.043276325,1.71507E+18,1.649466797,0.03481932,-0.043447789,0.012217305
1.71507E+18,1.659467041,0.090474129,-0.004860878,-0.092253327,1.71507E+18,1.659467041,0.037262779,-0.086208358,0.025045475
1.71507E+18,1.669466797,0.125056267,0.061731339,-0.085592866,1.71507E+18,1.669466797,0.033597589,-0.146684021,0.032375857
1.71507E+18,1.679467041,0.064042091,0.042631149,-0.017226666,1.71507E+18,1.679467041,0.016493361,-0.186390251,0.021991149
1.71507E+18,1.689466553,-0.263312817,-0.095313072,0.170966744,1.71507E+18,1.689466553,-0.022602014,-0.22976169,-0.03481932
1.71507E+18,1.699466797,-0.205712318,-0.094705582,0.038780101,1.71507E+18,1.699466797,-0.070249505,-0.281685233,-0.142942473
